# cytoplasmic ribosome orthologs from core fungi of interest						
"# Core factors only, no inhibitory factors"						
"# Component names from A new system for naming ribosomal proteins, Ban et al 2014"						
# orthologs from PANTHER.db						
"# E. Wallace, 30 July 2018."						
#						
FAMILY_ID	SUBUNIT	COMPONENT	SPECIES	UNIPROT	ENTREZ	SYSTEMATIC
PTHR10722:SF0		eL19	YEAST	P0CX83	852254	YBL027W
PTHR10722:SF0		eL19	YEAST	P0CX82	852379	YBR084C-A
PTHR10722:SF0		eL19	SCHPO	O42699	2539178	SPCC1682.14
PTHR10722:SF0		eL19	SCHPO	P05734	2540870	SPBC56F2.02
PTHR10722:SF0		eL19	CANAL	Q5ANJ7	NA	C3_04500C
PTHR10722:SF0		eL19	CRYNJ	Q5KBW9	3259668	CNI01090
PTHR10722:SF0		eL19	NEUCR	Q7S5N9	3876195	NCU05804
PTHR10394:SF3		uS8	YEAST	P0CX39	852206	YBL072C
PTHR10394:SF3		uS8	YEAST	P0CX40	856839	YER102W
PTHR10394:SF3		uS8	SCHPO	Q9P7B2	2543354	SPAC521.05
PTHR10394:SF3		uS8	SCHPO	O14049	2541491	SPAC2C4.16c
PTHR10394:SF3		uS8	CANAL	Q59T44	3645565	C2_05610C
PTHR10394:SF3		uS8	CRYNJ	Q5KDJ7	3258792	CNG03720
PTHR10394:SF3		uS8	NEUCR	V5IPM8	3879569	NCU08500
PTHR11761:SF8		uS12	YEAST	P0CX42	856853	YER117W
PTHR11761:SF8		uS12	YEAST	P0CX41	852191	YBL087C
PTHR11761:SF8		uS12	SCHPO	P0CT61	2539286	SPCC1322.11
PTHR11761:SF8		uS12	SCHPO	P0CT60	2543453	SPAC3G9.03
PTHR11761:SF8		uS12	CANAL	Q59M73	NA	C6_02070C
PTHR11761:SF8		uS12	CRYNJ	Q5K959	3254469	CNK03100
PTHR11761:SF8		uS12	NEUCR	Q7SHJ9	3881767	NCU02905
PTHR23413:SF1		eL32	YEAST	P38061	852185	YBL092W
PTHR23413:SF1		eL32	SCHPO	P79015	2543460	SPAC3H5.10
PTHR23413:SF1		eL32	SCHPO	O42935	2540135	SPBC16C6.11
PTHR23413:SF1		eL32	CRYNJ	Q5K7J3	3255186	CNM02240
PTHR23413:SF1		eL32	NEUCR	Q7RXY1	3872930	NCU00464
PTHR19431:SF0		uL4	YEAST	P10664	852319	YBR031W
PTHR19431:SF0		uL4	YEAST	P49626	851575	YDR012W
PTHR19431:SF0		uL4	SCHPO	Q9P784	2539780	SPBC1711.06 
PTHR19431:SF0		uL4	SCHPO	P35679	2541344	SPBP8B7.03c
