FAMILY_ID	SPECIES	UNIPROT	ENTREZ
PTHR12220:SF13	YEAST	P38064	852242
PTHR12220:SF13	SCHPO	Q9Y822	2539752
PTHR12220:SF13	CANAL	Q5AD48	NA
PTHR12220:SF13	CRYNJ	Q5KNV5	3253327
PTHR12220:SF13	NEUCR	F5HIJ5	3879664
PTHR41237:SF1	YEAST	P38175	852188
PTHR41237:SF1	CANAL	Q5A1Z1	3642590
PTHR28174:SF1	YEAST	P36531	852419
PTHR28174:SF1	CANAL	Q59YH5	3643733
PTHR28174:SF1	NEUCR	Q1K7L7	3877458
PTHR21569:SF1	YEAST	P38120	852443
PTHR21569:SF1	SCHPO	O14006	2542620
PTHR21569:SF1	CANAL	O94150	3642064
PTHR21569:SF1	CRYNJ	Q5KDZ7	3258621
PTHR21569:SF1	NEUCR	Q7S7R6	3877344
PTHR13718:SF61	YEAST	P33759	852553
PTHR13718:SF61	SCHPO	Q10234	2543504
PTHR13718:SF61	CANAL	Q59NE6	NA
PTHR13718:SF61	CRYNJ	Q5KFD3	3258258
PTHR13718:SF61	NEUCR	Q1K548	3872627
PTHR28595:SF1	YEAST	P36532	852571
PTHR28595:SF1	SCHPO	Q9Y7U8	2539589
PTHR28595:SF1	CANAL	Q59VH8	3644782
PTHR28595:SF1	CRYNJ	Q5KAP4	3254306
PTHR28595:SF1	NEUCR	Q7SCZ3	3880013
PTHR21338:SF0	YEAST	P36526	852585
PTHR21338:SF0	SCHPO	Q5WRL1	3361547
PTHR21338:SF0	CANAL	Q5AHY8	3636884
PTHR21338:SF0	CRYNJ	Q5KAM8	3254225
PTHR21338:SF0	NEUCR	Q7S5W0	3876293
PTHR21026:SF2	YEAST	P25348	850359
PTHR21026:SF2	SCHPO	O94379	2539681
PTHR21026:SF2	CANAL	Q5A6K5	3640948
PTHR21026:SF2	CRYNJ	Q5KL23	3256415
PTHR21026:SF2	NEUCR	Q1K4P1	3872019
PTHR15680:SF9	YEAST	P25626	850413
PTHR15680:SF9	SCHPO	Q9UT87	2543125
PTHR15680:SF9	CANAL	Q5A1M8	NA
PTHR15680:SF9	CRYNJ	Q5KCZ5	3259077
PTHR15680:SF9	NEUCR	Q7RYW8	3873510
PTHR28066:SF1	YEAST	O75012	851515
PTHR28066:SF1	SCHPO	O13973	2542645
PTHR28066:SF1	NEUCR	Q7S4Y4	3875976
PTHR11560:SF8	YEAST	P36521	851325
PTHR11560:SF8	SCHPO	Q09724	2542402
PTHR11560:SF8	CANAL	Q5A693	3641165
PTHR11560:SF8	CRYNJ	Q5KLQ0	3256102
PTHR11700:SF9	YEAST	Q03201	851611
PTHR11700:SF9	SCHPO	O60186	2540539
PTHR11700:SF9	CANAL	Q5ADT9	3638472
PTHR11700:SF9	CRYNJ	P0CQ54	3259785
PTHR11700:SF9	NEUCR	Q7RYL4	3873360
PTHR14503:SF4	YEAST	Q04598	851692
PTHR14503:SF4	SCHPO	Q9P7L9	2540621
PTHR14503:SF4	CRYNJ	Q5KPZ7	3253856
PTHR14503:SF4	NEUCR	Q1K7P9	3877497
PTHR36427:SF1	YEAST	Q04599	851694
PTHR36427:SF1	SCHPO	Q9P6M9	3361520
PTHR36427:SF1	CANAL	Q59LA1	NA
PTHR36427:SF1	NEUCR	Q1K699	3874978
PTHR13490:SF0	YEAST	Q03976	851755
PTHR13490:SF0	SCHPO	Q09705	2541429
PTHR13490:SF0	CANAL	Q5AI30	3636901
PTHR13490:SF0	NEUCR	Q1K5Z0	3873750
PTHR11994:SF4	YEAST	P36519	851823
PTHR11994:SF4	SCHPO	O14337	2540459
PTHR11994:SF4	CANAL	Q5A2J2	NA
PTHR11994:SF4	CRYNJ	Q5KKW4	3256596
PTHR11994:SF4	NEUCR	Q1K6P0	3876877
PTHR28184:SF1	YEAST	Q06630	851890
PTHR28184:SF1	SCHPO	O60147	2540835
PTHR28184:SF1	CANAL	Q5A2A2	3642476
PTHR28184:SF1	NEUCR	Q7RYM5	3873390
