# mitopred_different_H99vsJEC21.txt
# Genes with a DIFFERENT mitofates prediction in H99 and JEC21
# Not otherwise filtered. Arranged by prob preseq in H99
#
# H99: H99 systematic gene name
# JEC21: JEC21 systematic gene name of ortholog
# Prob_preseq.xx: Probability of mitochondrial presequence from mitofates, strain xx
#
# Edward Wallace, Jan 2019
H99	JEC21	Prob_preseq.H99	Prob_preseq.JEC21
CNAG_07163	CNE02790	1	0
CNAG_04443	CNI01140	0.999	0
CNAG_02354	CNE01960	0.997	0.064
CNAG_05511	CNH01640	0.995	0
CNAG_04110	CNI04380	0.988	0.319
CNAG_04664	CNJ00980	0.984	0.056
CNAG_01052	CND01820	0.98	0.355
CNAG_00427	CNA04120	0.979	0.063
CNAG_01522	CNC06600	0.966	0
CNAG_05435	CNH01035	0.948	0.076
CNAG_01333	CND04490	0.936	0.004
CNAG_07352	CNA03190	0.916	0.18
CNAG_02048	CNE04870	0.894	0.328
CNAG_01927	CNK02675	0.869	0.187
CNAG_04955	CNL06600	0.865	0.012
CNAG_01411	CND05220	0.863	0
CNAG_00419	CNA04063	0.862	0.35
CNAG_05058	CNL05610	0.859	0.113
CNAG_01145	CND02700	0.841	0.34
CNAG_00576	CNA05610	0.811	0.31
CNAG_04195	CNI03330	0.809	0.185
CNAG_04775	CNJ02035	0.794	0.34
CNAG_02284	CNE02620	0.783	0.035
CNAG_04017	CNB04990	0.776	0.214
CNAG_05396	CNH00650	0.721	0.064
CNAG_00430	CNA04145	0.72	0.348
CNAG_03647	CNB01470	0.701	0.362
CNAG_01292	CND04120	0.684	0.131
CNAG_03067	CNC00210	0.684	0.172
CNAG_04140	CNI02780	0.617	0.004
CNAG_04741	CNJ01720	0.614	0.226
CNAG_03763	CNB02580	0.608	0.028
CNAG_04868	CNJ02960	0.604	0
CNAG_02460	CNE00980	0.594	0.082
CNAG_02383	CNE01660	0.593	0.307
CNAG_03185	CNG03840	0.584	0.296
CNAG_00128	CNA02115	0.582	0.065
CNAG_03441	CNG01450	0.578	0.285
CNAG_06616	CNF04030	0.567	0.237
CNAG_00123	CNA01130	0.56	0.105
CNAG_00165	CNA01530	0.557	0.299
CNAG_04410	CNI01380	0.547	0.206
CNAG_03926	CNB04150	0.528	0
CNAG_01962	CNK03000	0.519	0.216
CNAG_05665	CNH03013	0.519	0.301
CNAG_06022	CNM00330	0.507	0.354
CNAG_05801	CNF01780	0.5	0.242
CNAG_01543	CNC06410	0.487	0.326
CNAG_07308	CNA00310	0.486	0.029
CNAG_07802	CNL06180	0.471	0.076
CNAG_06418	CNN01430	0.467	0.028
CNAG_03621	CNB01230	0.46	0.298
CNAG_02087	CNE04480	0.455	0.326
CNAG_00512	CNA04940	0.452	0.222
CNAG_04679	CNJ01110	0.429	0.381
CNAG_03713	CNB02100	0.417	0.016
CNAG_00320	CNA03050	0.416	0.355
CNAG_07464	CNB00820	0.414	0.006
CNAG_05129	CNL04915	0.413	0.038
CNAG_00416	CNA04040	0.412	0.363
CNAG_03436	CNG01490	0.411	0
CNAG_02692	CNK01800	0.408	0.371
CNAG_02444	CNE01140	0.395	0.086
CNAG_05620	CNH02610	0.39	0.011
CNAG_06864	CNE00080	0.39	0.382
CNAG_03453	CNG01340	0.389	0.03
CNAG_04808	CNJ02340	0.389	0.347
CNAG_03220	CNG03530	0.384	0.595
CNAG_03260	CNG03160	0.381	0.5
CNAG_04209	CNI03480	0.38	0.392
CNAG_03329	CNG02500	0.375	0.486
CNAG_01495	CNC06850	0.372	0.408
CNAG_04539	CNI00150	0.371	0.655
CNAG_03984	CNB04715	0.367	0.615
CNAG_06173	CNM01740	0.366	0.943
CNAG_01012	CND01420	0.362	0.548
CNAG_01295	CND04150	0.357	0.427
CNAG_06328	CNN00560	0.349	0.661
CNAG_02851	CNC04680	0.346	0.418
CNAG_02316	CNE02300	0.321	0.557
CNAG_04801	CNJ02280	0.316	0.601
CNAG_03403	CNG01800	0.302	0.729
CNAG_03540	CNG00570	0.292	0.65
CNAG_07801	CNL06190	0.283	0.443
CNAG_05310	CNH03240	0.272	0.939
CNAG_05353	CNH00200	0.267	0.583
CNAG_05751	CNF02270	0.264	0.426
CNAG_04888	CNJ03140	0.255	0.424
CNAG_06374	CNN01010	0.243	0.44
CNAG_06223	CNM02250	0.236	0.704
CNAG_01770	CNC02700	0.228	0.407
CNAG_03649	CNB01500	0.228	0.733
CNAG_01864	CNK02040	0.218	0.388
CNAG_02982	CNC05910	0.208	0.418
CNAG_04900	CNJ03240	0.202	0.524
CNAG_04777	CNJ02050	0.2	0.395
CNAG_03344	CNG02355	0.196	0.438
CNAG_02033	CNE05020	0.174	0.955
CNAG_01323	CND04430	0.165	0.529
CNAG_04341	CNI02090	0.16	0.411
CNAG_02228	CNE03120	0.155	0.494
CNAG_02055	CNE04790	0.153	0.604
CNAG_02841	CNC04570	0.13	0.417
CNAG_05673	CNF03000	0.129	0.419
CNAG_02603	CNK00890	0.128	0.514
CNAG_01632	CNC01450	0.126	0.428
CNAG_00593	CNA05750	0.119	0.936
CNAG_01451	CND05645	0.106	0.409
