Sequence ID	Probability of presequence	Prediction	Cleavage site (processing enzyme)	Net charge	Positions for TOM20 recognition motif (deliminated by comma)	Position of amphypathic alpha-helix	BHHPPP	BPHBHH	HBHHBb	HBHHbB	HHBHHB	HHBPHB	HHBPHH	HHBPHP	HHHBBH	HHHBPH	HHHHBB	HHPBHH	HPBHHP	PHHBPH
NCU00003 Ntermext	0.078	No mitochondrial presequence	7(MPP)	0.143	10-14,22-26	17-26-high	-	-	-	-	-	-	-	-	-	-	1-6	-	-	-	
NCU00004 Ntermext	0.003	No mitochondrial presequence	48(MPP)	0.042		17-26-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00005 Ntermext	0.004	No mitochondrial presequence	16(MPP)	-0.062	78-82	12-21-high	-	-	-	-	-	-	-	-	-	-	-	-	-	12-17	
NCU00006 Ntermext	0.051	No mitochondrial presequence	32(MPP)	0.062		2-11-high	-	-	-	-	-	-	-	-	1-6	-	-	-	-	-	
NCU00007 Ntermext	0.004	No mitochondrial presequence	9(MPP), 10(Icp55)	0.222		20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00008 Ntermext	0.003	No mitochondrial presequence	20(MPP)	-0.050		13-22-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00009 Ntermext	0.000	No mitochondrial presequence	55(MPP)	0.036		1-11-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00010 Ntermext	0.005	No mitochondrial presequence	77(MPP)	0.078		13-23-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00011 Ntermext	0.004	No mitochondrial presequence	76(MPP)	0.105		6-15-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00013 Ntermext	0.008	No mitochondrial presequence	68(MPP)	0.088	8-12,14-18,23-27,50-54,53-57	20-29-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00014 Ntermext	0.000	No mitochondrial presequence	30(MPP)	0.033	84-88	21-30-low	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
NCU00015 Ntermext	0.000	No mitochondrial presequence	90(MPP)	-0.011		7-18-high	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
