# cytosolic ribosomal protein orthologs in Histoplasma capsulatum G217B
COMPONENT	GENE_ID
uL1	HISTO_DA.Contig93.eannot.2120.final_new_mrna
uL2	HISTO_GY.Contig460.eannot.1794.final_new_mrna
uL2	HISTO_ZZ.Contig127b.fgenesh_plus.15.final_new_mrna
uL3	HISTO_DA.Contig93.eannot.2144.final_new_mrna
uL4	HISTO_DY.Contig31.eannot.1455.final_new_mrna
uL5	HISTO_GY.Contig460.eannot.1663.final_new_mrna
uL6	HISTO_GY.Contig460.eannot.1697.final_new_mrna
uL10	HISTO_FE.Contig19.eannot.1938.final_new_mrna
uL11	HISTO_FE.Contig19.eannot.1777.final_new_mrna
uL13	HISTO_ZT.Contig1128f.eannot.1146.final_new_mrna
uL15	HISTO_KW.Contig49.eannot.1034.final_new_mrna
uL16	HISTO_DA.Contig93.eannot.1929.final_new_mrna
uL18	HISTO_GY.Contig471.Fgenesh_histo.71.final_new_mrna
uL22	HISTO_AZ.Contig47.eannot.1615.final_new_mrna
uL23	HISTO_ZU.Contig65.eannot.1960.final_new_mrna
uL24	HISTO_DF.Contig537.eannot.1325.final_new_mrna
uL29	HISTO_ZZ.Contig127a.eannot.1340.final_new_mrna
uL30	HISTO_KF.Contig597.Fgenesh_histo.18.final_new_mrna
eL6	HISTO_ZZ.Contig127c.eannot.1584.final_new_mrna
eL8	HISTO_ZT.Contig1089.Fgenesh_Aspergillus.152.final_new_mrna
eL13	HISTO_ZE.Contig149.eannot.1295.final_new_mrna
eL14	HISTO_ZT.Contig174.eannot.1492.final_new_mrna
eL15	HISTO_DA.Contig94.eannot.1029.final_new_mrna
eL18	HISTO_HS.Contig68.eannot.2018.final_new_mrna
eL19	NA
eL20	HISTO_FE.Contig19.Fgenesh_histo.136.final_new_mrna
eL21	HISTO_HS.Contig68.eannot.2003.final_new_mrna
eL22	HISTO_DM.Contig933.eannot.1579.final_new_mrna
eL24	HISTO_BX.Contig20.eannot.1079.final_new_mrna
el24	REPEAT_NAC.Contig5.eannot.1010.final_new_mrna
eL27	HISTO_JG.Contig207.eannot.1373.final_new_mrna
eL29	HISTO_FE.Contig19.eannot.1832.final_new_mrna
eL30	HISTO_DA.Contig93.eannot.1928.final_new_mrna
eL31	NA
eL32	HISTO_AL.Contig317.eannot.1508.final_new_mrna
eL33	HISTO_ZL.Contig1161c.Fgenesh_histo.66.final_new_mrna
eL34	HISTO_FE.Contig19.fgenesh_plus.24.final_new_mrna
eL36	HISTO_ZL.Contig1161d.eannot.1503.final_new_mrna
eL37	HISTO_HS.Contig68.Fgenesh_Neurospora.222.final_new_mrna
eL38	HISTO_ZL.Contig1161d.eannot.1459.final_new_mrna
eL39	HISTO_ZU.Contig65.eannot.2094.final_new_mrna
eL40	HISTO_ZL.Contig1161e.Fgenesh_Aspergillus.88.final_new_mrna
eL42	HISTO_HS.Contig68.eannot.1954.final_new_mrna
eL43	HISTO_ZL.Contig658.fgenesh_plus.10.final_new_mrna
P1	HISTO_ZT.Contig181.eannot.1602.final_new_mrna
P2	HISTO_LF.Contig359.eannot.2090.final_new_mrna
uS2	HISTO_ZL.Contig1131.eannot.2045.final_new_mrna
uS3	HISTO_ZT.Contig174.eannot.1393.final_new_mrna
uS4	HISTO_HS.Contig68.eannot.1968.final_new_mrna
uS5	NA
uS7	HISTO_LF.Contig359.eannot.2176.final_new_mrna
uS8	HISTO_AZ.Contig47.eannot.1632.final_new_mrna
uS9	HISTO_ZL.Contig1131.eannot.2130.final_new_mrna
uS10	HISTO_ZU.Contig65.eannot.2104.final_new_mrna
uS11	HISTO_ZL.Contig1131.eannot.2118.final_new_mrna
uS12	HISTO_HS.Contig68.eannot.2105.final_new_mrna
uS12	HISTO_ZL.Contig1161a.eannot.1169.final_new_mrna
uS13	HISTO_KF.Contig597.eannot.1395.final_new_mrna
uS13	HISTO_ZL.Contig1161d.eannot.1494.final_new_mrna
uS14	NA
uS15	HISTO_FE.Contig19.eannot.1898.final_new_mrna
uS17	HISTO_KF.Contig601.eannot.1284.final_new_mrna
uS19	HISTO_BP.Contig457.Fgenesh_Aspergillus.172.final_new_mrna
uS19	HISTO_LF.Contig359.eannot.2091.final_new_mrna
eS1	HISTO_GX.Contig297.eannot.1527.final_new_mrna
eS4	HISTO_HS.Contig68.eannot.1969.final_new_mrna
eS6	HISTO_ZZ.Contig127c.eannot.1593.final_new_mrna
eS7	HISTO_ZL.Contig658.eannot.1263.final_new_mrna
eS10	HISTO_ZT.Contig1089.fgenesh_plus.21.final_new_mrna
eS12	HISTO_ZT.Contig174.eannot.1471.final_new_mrna
eS17	NA
eS19	NA
eS21	HISTO_ZL.Contig1161b.eannot.1295.final_new_mrna
eS24	HISTO_ZL.Contig1161b.eannot.1275.final_new_mrna
eS25	HISTO_AZ.Contig47.eannot.1694.final_new_mrna
eS26	HISTO_ZT.Contig181.Fgenesh_histo.110.final_new_mrna
eS27	HISTO_EA.Contig33.eannot.1550.final_new_mrna
eS28	HISTO_AL.Contig320.eannot.1088.final_new_mrna
eS30	REPEAT_NAC.Contig5.eannot.1011.final_new_mrna
ES30	HISTO_ER.Contig17.eannot.1292.final_new_mrna
eS30	HISTO_BX.Contig20.eannot.1081.final_new_mrna
eS31	HISTO_ZL.Contig658.eannot.1280.final_new_mrna
RACK1	HISTO_DM.Contig93.eannot.1687.final_new_mrna
